orf,gene.x,Anno1,Growth1,gene.y,Anno2,Growth2,name.check,essenflag
YBR094W,YBR094W,verified1,growth1,YBR094W,verified2,growth2,TRUE,nonessential
YBR095C,YBR095C,verified1,nogrowth1,YBR095C,verified2,nogrowth2,TRUE,essential
YBR096W,YBR096W,verified1,nogrowth1,YBR096W,verified2,nogrowth2,TRUE,essential
YBR097W,vps15,verified1,nogrowth1,vps15,verified2,growth2,TRUE,abnormal
YBR098W,MMS4,verified1,growth1,MMS4,verified2,growth2,TRUE,nonessential
YBR099C,YBR099C,verified1,growth1,YBR099C,verified2,growth2,TRUE,nonessential
YBR100W,YBR100W,verified1,growth1,YBR100W,verified2,growth2,TRUE,nonessential
YBR101C,YBR101C,verified1,growth1,YBR101C,verified2,growth2,TRUE,nonessential
YBR102C,EXO84,verified1,nogrowth1,EXO84,verified2,nogrowth2,TRUE,essential
YBR103W,SIF2,verified1,growth1,SIF2,verified2,growth2,TRUE,nonessential
YBR104W,YMC2,verified1,growth1,YMC2,verified2,growth2,TRUE,nonessential
YBR106W,PHO88,verified1,growth1,PHO88,verified2,growth2,TRUE,nonessential
YBR107C,IML3,verified1,growth1,IML3,verified2,growth2,TRUE,nonessential
YBR108W,YBR108W,verified1,growth1,YBR108W,verified2,growth2,TRUE,nonessential
YBR109C,cmd1,verified1,nogrowth1,cmd1,verified2,nogrowth2,TRUE,essential
YBR110W,alg1,verified1,nogrowth1,alg1,verified2,nogrowth2,TRUE,essential
YBR111C,YSA1,verified1,nogrowth1,YSA1,verified2,nogrowth2,TRUE,essential
YBR112C,cyc8,verified1,nogrowth1,cyc8,verified2,nogrowth2,TRUE,essential
YBR113W,YBR113W,verified1,growth1,YBR113W,verified2,growth2,TRUE,nonessential
YBR114W,rad16,verified1,growth1,rad16,verified2,growth2,TRUE,nonessential
YBR115C,lys2,verified1,nogrowth1,lys2,verified2,nogrowth2,TRUE,essential
YBR116C,YBR116C,verified1,growth1,YBR116C,verified2,growth2,TRUE,nonessential
YBR117C,TKL2,verified1,nogrowth1,TKL2,verified2,nogrowth2,TRUE,essential
YBR118W,TEF2,verified1,nogrowth1,TEF2,verified2,nogrowth2,TRUE,essential
